,Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Time,Arrival at Pickup - Time,Pickup - Time,Distance (KM),Temperature,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival,Fulfillment - Weekday (Su = 0),Fulfillment - Day of Month
40,Order_No_4283,User_Id_393,Bike,3,Business,16,2,910,3:11:24 PM,3:24:53 PM,3:50:05 PM,4,24.525393153745092,-1.3167113,36.8301563,-1.3004062,36.829741,Rider_Id_910,896,2,16
41,Order_No_11682,User_Id_3635,Bike,1,Business,20,1,974,4:17:47 PM,4:18:19 PM,5:04:07 PM,7,20.5,-1.2615888,36.7928732,-1.2772389,36.7855864,Rider_Id_179,2658,1,20
42,Order_No_7662,User_Id_1329,Bike,3,Business,14,5,566,9:27:16 AM,9:27:24 AM,9:42:19 AM,5,17.0,-1.273056,36.811298,-1.3056277,36.8173166,Rider_Id_89,1783,5,14
43,Order_No_24271,User_Id_635,Bike,3,Business,19,6,614,10:15:20 AM,10:27:38 AM,10:33:39 AM,8,25.4,-1.3081376,36.8329772,-1.2602337,36.7990548,Rider_Id_899,1942,6,19
44,Order_No_21246,User_Id_3669,Bike,3,Business,14,3,1050,5:30:53 PM,5:45:36 PM,6:01:20 PM,2,23.7,-1.2615888,36.7928732,-1.2685707,36.8064961,Rider_Id_642,32,3,14
45,Order_No_21303,User_Id_3621,Bike,3,Business,16,6,765,12:45:35 PM,1:36:21 PM,1:38:44 PM,7,28.7,-1.2836583,36.7886014,-1.3064585,36.8119065,Rider_Id_885,2562,6,16
46,Order_No_13113,User_Id_391,Bike,3,Business,29,5,998,4:47:10 PM,5:15:00 PM,5:19:04 PM,2,27.8,-1.2784063,36.8222933,-1.2870774,36.8259832,Rider_Id_291,1540,5,29
47,Order_No_5386,User_Id_1271,Bike,3,Business,15,2,585,9:45:17 AM,9:52:15 AM,10:05:11 AM,25,20.5,-1.3108386,36.7555239,-1.3244885,36.897792,Rider_Id_493,2121,2,15
48,Order_No_16735,User_Id_1500,Bike,3,Business,7,5,987,4:30:30 PM,4:35:57 PM,4:44:55 PM,10,21.6,-1.2991441,36.7528804,-1.2638185,36.7930057,Rider_Id_161,1454,5,7
49,Order_No_5682,User_Id_2987,Bike,3,Business,19,5,718,11:59:10 AM,12:20:20 PM,12:22:08 PM,10,25.1,-1.270212,36.8210877,-1.2297202,36.8819507,Rider_Id_268,3097,5,19
50,Order_No_3470,User_Id_880,Bike,1,Personal,15,3,539,9:00:49 AM,9:19:23 AM,9:28:20 AM,4,16.5,-1.3012173,36.8093987,-1.3066967,36.785934,Rider_Id_208,1106,3,15
51,Order_No_26290,User_Id_393,Bike,3,Business,25,1,968,4:08:54 PM,4:09:02 PM,4:42:06 PM,14,27.3,-1.3167113,36.8301563,-1.306378,36.7519845,Rider_Id_39,12,1,25
52,Order_No_8557,User_Id_2112,Bike,3,Business,14,3,794,2:06:51 PM,2:07:18 PM,2:18:47 PM,17,25.5,-1.2156006,36.8916865,-1.2551895,36.7822034,Rider_Id_447,1980,3,14
53,Order_No_7947,User_Id_2763,Bike,3,Business,15,3,822,1:43:21 PM,1:49:13 PM,1:51:26 PM,5,21.5,-1.2551895,36.7822034,-1.2659232,36.8235607,Rider_Id_415,846,3,15
54,Order_No_791,User_Id_3686,Bike,3,Business,9,5,942,4:04:37 PM,4:09:55 PM,4:32:49 PM,9,25.1,-1.2551895,36.7822034,-1.2899733,36.7908611,Rider_Id_881,948,5,9
55,Order_No_14263,User_Id_867,Bike,3,Business,3,1,786,3:50:14 PM,3:55:48 PM,4:05:23 PM,10,23.4,-1.2996533,36.8292629,-1.306378,36.7519845,Rider_Id_762,1525,1,3
56,Order_No_26006,User_Id_1934,Bike,2,Personal,8,1,1011,4:57:27 PM,5:58:14 PM,6:13:43 PM,7,18.4,-1.2862252,36.8234218,-1.304033,36.7848695,Rider_Id_328,2101,1,8
57,Order_No_11288,User_Id_1469,Bike,3,Business,20,1,503,8:24:43 AM,8:56:25 AM,9:01:17 AM,15,19.0,-1.2551895,36.7822034,-1.2343236,36.8861,Rider_Id_155,1339,1,20
58,Order_No_23478,User_Id_346,Bike,3,Business,8,5,773,1:22:56 PM,1:34:51 PM,1:40:05 PM,3,21.7,-1.2885529,36.8160141,-1.3040024,36.808297,Rider_Id_217,713,5,8
59,Order_No_1831,User_Id_3647,Bike,3,Business,31,3,634,10:35:39 AM,10:43:31 AM,10:47:10 AM,4,24.9,-1.272639,36.794723,-1.2609186,36.7938342,Rider_Id_620,887,3,31
60,Order_No_19075,User_Id_1527,Bike,3,Business,8,3,577,9:40:45 AM,9:48:13 AM,9:59:04 AM,5,21.300826593865814,-1.3004062,36.829741,-1.3228003,36.8306435,Rider_Id_843,598,3,8
61,Order_No_5260,User_Id_2523,Bike,3,Business,10,1,873,2:33:49 PM,2:40:41 PM,2:47:38 PM,5,18.5,-1.2551895,36.7822034,-1.2731645,36.7900343,Rider_Id_205,1804,1,10
62,Order_No_19315,User_Id_2582,Bike,3,Business,15,5,617,10:34:22 AM,10:38:16 AM,10:45:59 AM,9,26.2,-1.327371,36.840591,-1.2703801,36.7985261,Rider_Id_411,1031,5,15
63,Order_No_14018,User_Id_53,Bike,3,Business,18,5,578,9:40:16 AM,9:54:53 AM,10:05:00 AM,5,20.3,-1.3004062,36.829741,-1.2770708,36.8231093,Rider_Id_725,1061,5,18
64,Order_No_19698,User_Id_246,Bike,3,Business,22,2,839,2:00:42 PM,2:05:24 PM,2:14:57 PM,5,25.8,-1.2584143,36.8048002,-1.2929499,36.8180835,Rider_Id_903,3066,2,22
65,Order_No_12669,User_Id_3450,Bike,3,Business,15,1,899,2:59:49 PM,3:04:07 PM,3:07:17 PM,18,24.525606020318513,-1.2657464,36.7801144,-1.2155671,36.8898931,Rider_Id_120,1693,1,15
66,Order_No_28170,User_Id_1342,Bike,3,Business,18,1,880,2:41:06 PM,3:06:58 PM,3:14:14 PM,18,17.4,-1.3025826,36.7670807,-1.2486689,36.8748969,Rider_Id_755,3032,1,18
67,Order_No_3830,User_Id_246,Bike,3,Business,4,1,509,8:32:07 AM,9:21:35 AM,9:30:42 AM,10,18.0,-1.2584143,36.8048002,-1.2413316,36.8785525,Rider_Id_906,1025,1,4
68,Order_No_7527,User_Id_3300,Bike,3,Business,11,2,784,1:07:28 PM,1:11:02 PM,1:26:04 PM,9,19.6,-1.259478,36.8017813,-1.303596,36.778378,Rider_Id_484,1084,2,11
69,Order_No_6779,User_Id_1816,Bike,1,Business,16,1,882,2:42:43 PM,2:52:13 PM,2:53:51 PM,5,22.4,-1.296684,36.770172,-1.3028391,36.7951112,Rider_Id_140,784,1,16
70,Order_No_350,User_Id_2801,Bike,3,Business,14,3,545,9:06:23 AM,9:12:11 AM,9:22:27 AM,4,18.4,-1.2595422,36.7871178,-1.2664428,36.809453,Rider_Id_125,573,3,14
71,Order_No_17077,User_Id_393,Bike,3,Business,26,2,622,10:24:23 AM,10:30:48 AM,10:45:08 AM,4,27.3,-1.3167113,36.8301563,-1.3004062,36.829741,Rider_Id_409,740,2,26
72,Order_No_15976,User_Id_3621,Bike,3,Business,15,1,678,11:18:42 AM,11:22:12 AM,11:26:04 AM,12,22.300128466319833,-1.2836583,36.7886014,-1.2998685,36.8643907,Rider_Id_363,1792,1,15
73,Order_No_6913,User_Id_3599,Bike,3,Business,26,1,658,11:13:03 AM,11:21:37 AM,12:21:03 PM,15,22.9,-1.3302996,36.8707935,-1.2912772,36.7734495,Rider_Id_937,2341,1,26
74,Order_No_26684,User_Id_2335,Bike,3,Business,5,3,819,1:39:28 PM,1:39:39 PM,1:46:09 PM,15,24.9,-1.2551895,36.7822034,-1.3226302,36.8719901,Rider_Id_828,2053,3,5
75,Order_No_9445,User_Id_3291,Bike,3,Business,28,2,585,9:46:24 AM,10:01:06 AM,10:15:22 AM,6,18.8,-1.2783849,36.8163445,-1.2600926,36.8088685,Rider_Id_341,764,2,28
76,Order_No_8753,User_Id_20,Bike,3,Business,5,1,550,9:30:57 AM,9:36:54 AM,9:43:49 AM,5,18.7,-1.2628638,36.8070399,-1.2929499,36.8180835,Rider_Id_268,1983,1,5
77,Order_No_4981,User_Id_1179,Bike,3,Business,22,4,873,2:41:16 PM,2:56:47 PM,3:03:36 PM,21,26.5,-1.3700383,36.9190174,-1.2917868,36.7872675,Rider_Id_498,4240,4,22
78,Order_No_5406,User_Id_2150,Bike,3,Business,20,1,878,3:51:33 PM,4:05:46 PM,4:24:20 PM,12,24.264921041630124,-1.331619,36.847976,-1.344446,36.756597,Rider_Id_2,2094,1,20
79,Order_No_7779,User_Id_1500,Bike,3,Business,3,3,820,1:40:25 PM,2:01:56 PM,2:48:40 PM,8,28.0,-1.3004062,36.829741,-1.2638185,36.7930057,Rider_Id_216,10,3,3
80,Order_No_20773,User_Id_478,Bike,1,Business,2,1,520,8:40:44 AM,8:44:47 AM,8:49:11 AM,15,16.6,-1.2551895,36.7822034,-1.3216456,36.7145156,Rider_Id_379,1627,1,2
81,Order_No_89,User_Id_393,Bike,3,Business,24,3,575,10:13:07 AM,10:26:46 AM,10:37:44 AM,14,19.8,-1.3177547,36.8303703,-1.306378,36.7519845,Rider_Id_796,2593,3,24
82,Order_No_5851,User_Id_1932,Bike,3,Business,2,1,761,12:42:23 PM,12:49:38 PM,1:05:51 PM,2,19.4,-1.2874711,36.7646208,-1.2985987,36.7809119,Rider_Id_192,538,1,2
83,Order_No_1775,User_Id_2158,Bike,3,Personal,17,3,904,3:06:12 PM,3:17:42 PM,3:47:57 PM,7,24.54368658667032,-1.2888734,36.8268027,-1.25896,36.8016691,Rider_Id_843,370,3,17
84,Order_No_27858,User_Id_2436,Bike,3,Business,15,5,916,3:17:50 PM,3:23:19 PM,3:38:07 PM,4,18.0,-1.2551895,36.7822034,-1.2627937,36.8156957,Rider_Id_124,328,5,15
85,Order_No_21907,User_Id_3355,Bike,3,Business,3,3,849,2:10:55 PM,2:36:59 PM,2:45:05 PM,10,27.0,-1.2859912,36.8756811,-1.3052491,36.8223899,Rider_Id_333,3842,3,3
86,Order_No_14363,User_Id_1209,Bike,3,Business,18,4,662,11:03:07 AM,11:30:40 AM,11:38:31 AM,5,22.19339715484402,-1.2770708,36.8231093,-1.3004062,36.829741,Rider_Id_843,883,4,18
87,Order_No_20395,User_Id_768,Bike,1,Personal,28,5,445,7:26:40 AM,7:49:01 AM,7:51:29 AM,18,20.7,-1.2849763,36.7841767,-1.2000518,36.7805946,Rider_Id_726,1506,5,28
88,Order_No_24631,User_Id_3075,Bike,1,Personal,28,5,830,1:52:10 PM,2:05:38 PM,2:14:08 PM,6,25.6,-1.3103512,36.814996,-1.2990731,36.8488058,Rider_Id_932,1168,5,28
89,Order_No_10357,User_Id_867,Bike,3,Business,29,5,556,9:18:01 AM,9:29:27 AM,9:42:27 AM,10,20.9,-1.2996533,36.8292629,-1.2991441,36.7528804,Rider_Id_728,1466,5,29
90,Order_No_6758,User_Id_2956,Bike,3,Business,15,4,661,11:02:13 AM,11:15:37 AM,11:24:50 AM,2,24.6,-1.2527958,36.8003131,-1.2584143,36.8048002,Rider_Id_407,498,4,15
91,Order_No_11764,User_Id_3647,Bike,3,Business,9,5,994,4:58:51 PM,5:20:25 PM,5:28:39 PM,11,25.2,-1.272639,36.794723,-1.3094179,36.7185918,Rider_Id_304,2347,5,9
92,Order_No_3191,User_Id_2869,Bike,3,Business,6,3,681,11:21:47 AM,11:49:47 AM,12:16:54 PM,9,22.342001513009944,-1.28878,36.8168312,-1.3025826,36.7670807,Rider_Id_118,2160,3,6
93,Order_No_19200,User_Id_1469,Bike,3,Business,4,1,632,10:34:07 AM,10:45:54 AM,10:48:05 AM,9,26.5,-1.2551895,36.7822034,-1.2974988,36.7956306,Rider_Id_263,1218,1,4
94,Order_No_22369,User_Id_1205,Bike,3,Business,19,1,673,11:14:30 AM,11:37:18 AM,11:43:01 AM,8,24.7,-1.257309,36.8060084,-1.2873232,36.7658572,Rider_Id_219,1960,1,19
95,Order_No_4852,User_Id_2978,Bike,3,Business,10,1,953,3:53:26 PM,4:00:58 PM,4:05:36 PM,4,18.7,-1.2551895,36.7822034,-1.2761764,36.8016961,Rider_Id_881,670,1,10
96,Order_No_25807,User_Id_1441,Bike,2,Personal,16,2,631,10:32:16 AM,10:32:59 AM,10:48:49 AM,10,23.6,-1.3142269,36.839245,-1.2849763,36.7841767,Rider_Id_188,1509,2,16
97,Order_No_20922,User_Id_3300,Bike,3,Business,7,5,522,8:44:06 AM,8:51:04 AM,9:02:45 AM,8,20.854567063130222,-1.265715,36.823815,-1.303596,36.778378,Rider_Id_27,2155,5,7
98,Order_No_7163,User_Id_2710,Bike,3,Personal,25,1,770,12:50:13 PM,1:05:58 PM,1:15:24 PM,11,25.5,-1.2980229,36.78865,-1.2535486,36.7933541,Rider_Id_411,1358,1,25
99,Order_No_21740,User_Id_302,Bike,3,Business,19,5,842,2:02:42 PM,2:07:00 PM,2:21:32 PM,2,27.6,-1.2649605,36.7981777,-1.25896,36.8016691,Rider_Id_578,635,5,19
100,Order_No_27349,User_Id_1502,Bike,3,Business,31,4,882,2:57:39 PM,3:11:29 PM,3:14:23 PM,5,22.9,-1.2156006,36.8916865,-1.2294985,36.8775495,Rider_Id_742,569,4,31
101,Order_No_4348,User_Id_635,Bike,3,Business,12,4,662,11:03:05 AM,11:14:35 AM,11:20:48 AM,8,18.9,-1.2599563,36.7993439,-1.2443443,36.8085667,Rider_Id_519,1681,4,12
102,Order_No_1737,User_Id_2154,Bike,3,Business,21,1,933,4:25:03 PM,4:34:39 PM,4:37:02 PM,20,25.2,-1.3165542,36.700067,-1.2765736,36.8513646,Rider_Id_509,3614,1,21
103,Order_No_275,User_Id_186,Bike,3,Business,10,5,558,9:18:47 AM,9:29:29 AM,9:36:06 AM,6,13.7,-1.2571472,36.7950633,-1.2857671,36.7875614,Rider_Id_770,1170,5,10
104,Order_No_8364,User_Id_2200,Bike,3,Business,12,2,669,11:10:12 AM,11:18:12 AM,11:31:19 AM,1,28.0,-1.290894,36.822971,-1.2880129,36.8308097,Rider_Id_377,376,2,12
105,Order_No_15237,User_Id_2801,Bike,3,Business,10,3,652,10:52:54 AM,11:11:16 AM,11:27:17 AM,15,27.9,-1.3104506,36.8687235,-1.2595422,36.7871178,Rider_Id_218,3238,3,10
106,Order_No_19465,User_Id_1304,Bike,3,Business,25,1,668,11:09:12 AM,11:15:28 AM,11:36:01 AM,3,22.143356696672612,-1.2551895,36.7822034,-1.255956,36.772901,Rider_Id_498,310,1,25
107,Order_No_16133,User_Id_554,Bike,1,Personal,11,5,664,11:10:25 AM,11:24:40 AM,11:27:09 AM,5,20.8,-1.2942764,36.7969749,-1.3127304,36.8189817,Rider_Id_196,1650,5,11
108,Order_No_12647,User_Id_1573,Bike,3,Personal,7,4,998,4:39:03 PM,4:39:20 PM,4:48:30 PM,10,29.6,-1.273056,36.811298,-1.2524627,36.7772593,Rider_Id_839,1350,4,7
109,Order_No_16611,User_Id_3201,Bike,3,Business,7,4,665,11:06:22 AM,11:10:21 AM,11:37:11 AM,1,27.4,-1.2571472,36.7950633,-1.2584143,36.8048002,Rider_Id_205,154,4,7
110,Order_No_2020,User_Id_2701,Bike,3,Business,5,2,665,11:07:29 AM,11:36:22 AM,11:37:22 AM,11,23.4,-1.2765736,36.8513646,-1.2571472,36.7950633,Rider_Id_530,1356,2,5
111,Order_No_2602,User_Id_3222,Bike,3,Business,23,4,895,3:01:45 PM,3:09:09 PM,3:20:32 PM,8,24.5,-1.2551895,36.7822034,-1.295156,36.8094306,Rider_Id_448,1052,4,23
112,Order_No_8545,User_Id_2801,Bike,3,Business,3,1,916,3:19:01 PM,3:26:49 PM,3:31:08 PM,5,23.1,-1.2674274,36.7870827,-1.2753109,36.8130185,Rider_Id_952,922,1,3
113,Order_No_24250,User_Id_3588,Bike,3,Business,20,2,667,11:07:34 AM,11:12:50 AM,11:26:16 AM,20,19.8,-1.3632421,36.9183909,-1.2985749,36.8088,Rider_Id_598,1545,2,20
114,Order_No_21573,User_Id_2733,Bike,3,Business,12,5,772,12:52:36 PM,1:11:22 PM,1:24:57 PM,2,26.5,-1.304033,36.7848695,-1.2963097,36.7688221,Rider_Id_324,772,5,12
115,Order_No_3158,User_Id_1584,Bike,3,Business,10,5,748,12:34:50 PM,12:50:31 PM,1:01:37 PM,7,19.2,-1.2767864,36.8213306,-1.2969741,36.7856612,Rider_Id_88,1578,5,10
116,Order_No_22477,User_Id_3565,Bike,3,Business,8,5,713,11:54:15 AM,12:00:37 PM,12:05:49 PM,21,24.0,-1.2844665,36.7866113,-1.391222,36.760676,Rider_Id_368,1982,5,8
117,Order_No_11708,User_Id_517,Bike,3,Business,30,4,614,10:15:05 AM,10:27:30 AM,10:47:24 AM,4,21.748069537622982,-1.3228003,36.8306435,-1.3004062,36.829741,Rider_Id_349,744,4,30
118,Order_No_13169,User_Id_2150,Bike,3,Business,16,4,703,11:44:00 AM,11:46:41 AM,11:57:48 AM,11,14.8,-1.307143,36.825009,-1.344446,36.756597,Rider_Id_648,1252,4,16
119,Order_No_8865,User_Id_3283,Bike,3,Business,8,1,718,12:21:04 PM,12:29:25 PM,12:33:59 PM,13,27.9,-1.2296618,36.8438272,-1.2628473,36.781805,Rider_Id_8,1147,1,8
120,Order_No_1926,User_Id_2190,Bike,3,Business,13,3,640,10:41:10 AM,10:54:41 AM,11:06:50 AM,13,22.001667494584865,-1.301953,36.788458,-1.3430735,36.7105064,Rider_Id_332,2532,3,13
121,Order_No_21335,User_Id_3599,Bike,3,Business,2,4,753,12:52:23 PM,1:17:57 PM,1:38:25 PM,13,23.117297150046276,-1.3302996,36.8707935,-1.2644742,36.8083457,Rider_Id_427,1906,4,2
122,Order_No_25522,User_Id_3517,Bike,3,Business,2,2,623,10:23:30 AM,10:23:32 AM,11:03:16 AM,15,26.0,-1.300921,36.828195,-1.3882008,36.7699445,Rider_Id_595,1442,2,2
123,Order_No_22886,User_Id_661,Bike,3,Business,22,5,703,11:44:56 AM,12:11:16 PM,12:39:53 PM,4,21.7,-1.2963097,36.7688221,-1.2950044,36.7512209,Rider_Id_312,727,5,22
124,Order_No_24160,User_Id_733,Bike,3,Business,31,4,801,1:43:55 PM,1:58:27 PM,2:19:13 PM,5,28.9,-1.2571472,36.7950633,-1.2884243,36.8207248,Rider_Id_332,2340,4,31
125,Order_No_23027,User_Id_2344,Bike,3,Business,1,4,825,1:46:45 PM,2:01:18 PM,2:03:25 PM,8,23.77054862128829,-1.2551895,36.7822034,-1.2958383,36.8073162,Rider_Id_578,954,4,1
126,Order_No_24808,User_Id_2102,Bike,3,Business,28,1,642,10:42:34 AM,10:43:56 AM,11:01:56 AM,15,22.9,-1.3323107,36.8692616,-1.2613768,36.8019418,Rider_Id_543,1879,1,28
